id_x,host_response_rate,host_is_superhost,host_listings_count,accommodates,bedrooms,beds,maximum_nights,price,review_scores_rating,review_scores_cleanliness,review_scores_location,number_of_reviews,neighbourhood,property_type,neighbourhood_freq,property_type_freq
1318724537059373628,1.0,0,77.0,2.0,1.0,1.0,180.0,110.0,4.63,4.74,4.79,361,"Dublin, County Dublin, Ireland",Entire rental unit,0.11559139784946236,0.2318548387096774
1318724550461966541,1.0,0,77.0,2.0,1.0,1.0,180.0,132.0,4.68,4.53,4.79,361,"Dublin, County Dublin, Ireland",Entire rental unit,0.11559139784946236,0.2318548387096774
1319512690296725512,1.0,0,133.0,2.0,1.0,1.0,1125.0,86.0,4.8,4.7,4.6,100,Unknown,Private room in home,0.5945340501792115,0.22334229390681004
1319566017569219198,1.0,0,133.0,2.0,1.0,1.0,1125.0,86.0,4.67,4.8,4.8,225,Unknown,Private room in condo,0.5945340501792115,0.05040322580645161
1320081979534712640,1.0,0,1.0,2.0,1.0,1.0,11.0,72.0,4.929999999999999,5.0,4.87,225,"Dublin 11, County Dublin, Ireland",Private room in condo,0.0015681003584229391,0.05040322580645161
1320227054086484550,0.8,0,1.0,2.0,1.0,1.0,7.0,126.0,5.0,5.0,4.67,36,Unknown,Private room in home,0.5945340501792115,0.22334229390681004
1320396641772725648,0.94,0,4.0,1.0,1.0,4.0,365.0,29.0,4.33,3.67,5.0,9,Unknown,Private room in home,0.5945340501792115,0.22334229390681004
1321565851497959500,0.98,0,11.0,1.0,1.0,4.0,90.0,30.0,3.67,3.0,4.0,9,Unknown,Shared room in home,0.5945340501792115,0.0035842293906810036
1322615753047195307,1.0,0,2.0,2.0,1.0,1.0,365.0,71.0,4.2,4.6,4.8,25,Unknown,Entire guesthouse,0.5945340501792115,0.009632616487455198
1323124674614852921,1.0,0,1.0,2.0,1.0,1.0,1125.0,54.0,4.83,4.67,4.89,324,"Swords, County Dublin, Ireland",Private room in townhouse,0.0038082437275985663,0.02486559139784946
1323807335128531212,1.0,0,4.0,3.0,1.0,2.0,365.0,132.0,4.7,4.5,4.9,100,Unknown,Private room in rental unit,0.5945340501792115,0.09363799283154121
1323862321866303578,1.0,0,7.0,2.0,1.0,1.0,1125.0,206.0,4.5,4.63,4.87,900,"Dublin 1, County Dublin, Ireland",Entire rental unit,0.02307347670250896,0.2318548387096774
1323897759532876052,0.94,0,2.0,2.0,1.0,1.0,1125.0,156.0,5.0,4.91,4.86,484,Unknown,Private room in condo,0.5945340501792115,0.05040322580645161
1324549419928417361,1.0,0,2.0,2.0,1.0,1.0,365.0,65.0,4.66,4.83,4.71,1225,Unknown,Entire guesthouse,0.5945340501792115,0.009632616487455198
1324582375465580465,0.89,0,7.0,16.0,1.0,50.0,365.0,26.0,3.75,3.75,4.75,64,Unknown,Shared room in hostel,0.5945340501792115,0.004256272401433692
1324619562288782589,1.0,0,1.0,4.0,1.0,2.0,30.0,251.0,5.0,5.0,5.0,1,Unknown,Entire guesthouse,0.5945340501792115,0.009632616487455198
1324711207312508427,1.0,0,1.0,4.0,1.0,2.0,365.0,152.0,4.48,4.45,4.48,1600,"Dublin 1, County Dublin, Ireland",Entire rental unit,0.02307347670250896,0.2318548387096774
1325310967540580152,0.89,0,7.0,12.0,1.0,12.0,365.0,26.0,4.1,3.6,4.3,100,Unknown,Shared room in hotel,0.5945340501792115,0.00246415770609319
1325319303967616609,0.89,0,7.0,10.0,1.0,10.0,365.0,26.0,5.0,5.0,5.0,4,Unknown,Shared room in hotel,0.5945340501792115,0.00246415770609319
1325324929012966396,0.89,0,7.0,8.0,1.0,8.0,365.0,26.0,3.0,3.0,5.0,4,Unknown,Shared room in hotel,0.5945340501792115,0.00246415770609319
1325337346173045911,0.89,0,7.0,6.0,1.0,6.0,365.0,56.0,4.0,4.6,4.75,400,Unknown,Shared room in hotel,0.5945340501792115,0.00246415770609319
1325352352873702662,0.89,0,7.0,6.0,1.0,6.0,365.0,388.0,4.0,4.0,4.57,49,Unknown,Shared room in hotel,0.5945340501792115,0.00246415770609319
1325354605075637188,0.89,0,7.0,4.0,1.0,4.0,365.0,489.0,3.0,3.0,5.0,1,Unknown,Shared room in hotel,0.5945340501792115,0.00246415770609319
1325355694146403458,1.0,0,1.0,2.0,1.0,1.0,730.0,46.0,4.8,4.6,4.8,25,Unknown,Entire cabin,0.5945340501792115,0.004256272401433692
1325389454407244055,1.0,1,7.0,2.0,1.0,1.0,30.0,89.0,4.85,4.62,4.85,169,Unknown,Entire rental unit,0.5945340501792115,0.2318548387096774
1325461323036134354,1.0,0,3.0,2.0,1.0,1.0,365.0,73.0,5.0,5.0,5.0,1,Unknown,Private room in home,0.5945340501792115,0.22334229390681004
1326171111087125617,1.0,0,58.0,2.0,1.0,1.0,180.0,117.0,4.47,4.24,4.94,289,"Dublin 6, County Dublin, Ireland",Entire rental unit,0.011200716845878136,0.2318548387096774
1326631076624252228,0.86,0,273.0,3.0,1.0,2.0,365.0,175.0,4.0,4.0,5.0,1,Unknown,Entire rental unit,0.5945340501792115,0.2318548387096774
1326794161482968698,1.0,0,1.0,2.0,1.0,1.0,15.0,47.0,4.9,5.0,4.76,441,Unknown,Private room in home,0.5945340501792115,0.22334229390681004
1326830612614193425,0.83,0,1.0,2.0,1.0,1.0,14.0,187.0,5.0,5.0,5.0,1,Unknown,Entire home,0.5945340501792115,0.1646505376344086
1327508789885726137,0.91,0,1.0,2.0,1.0,1.0,365.0,59.0,4.67,5.0,4.67,81,Unknown,Private room in home,0.5945340501792115,0.22334229390681004
1327628593811514585,1.0,1,2.0,2.0,1.0,1.0,30.0,112.0,4.96,5.0,4.91,2025,Unknown,Private room in condo,0.5945340501792115,0.05040322580645161
1327686599574629953,1.0,0,1.0,2.0,1.0,1.0,4.0,41.0,4.8,4.8,4.6,100,Unknown,Private room in home,0.5945340501792115,0.22334229390681004
1328307804800422401,1.0,0,4.0,2.0,1.0,1.0,365.0,103.0,5.0,5.0,4.25,16,Unknown,Private room in townhouse,0.5945340501792115,0.02486559139784946
1328970457674250391,1.0,0,15.0,2.0,1.0,1.0,14.0,51.0,2.67,3.0,4.0,9,Unknown,Private room in rental unit,0.5945340501792115,0.09363799283154121
1328983547692774106,1.0,0,15.0,1.0,1.0,1.0,14.0,35.0,2.75,4.0,3.5,16,Unknown,Private room in rental unit,0.5945340501792115,0.09363799283154121
1328986568932799213,1.0,0,15.0,1.0,1.0,1.0,14.0,36.0,2.75,1.75,3.25,16,Unknown,Private room in rental unit,0.5945340501792115,0.09363799283154121
1328992110080636617,1.0,0,15.0,1.0,1.0,2.0,14.0,26.0,4.0,3.75,4.25,16,Unknown,Shared room in rental unit,0.5945340501792115,0.0029121863799283156
1328993113168251791,1.0,0,15.0,1.0,1.0,2.0,14.0,27.0,3.33,3.33,2.67,9,Unknown,Shared room in rental unit,0.5945340501792115,0.0029121863799283156
1328997142650229068,1.0,0,15.0,1.0,1.0,2.0,14.0,27.0,2.6,2.4,2.4,25,Unknown,Shared room in rental unit,0.5945340501792115,0.0029121863799283156
1329002676500780249,1.0,0,15.0,2.0,1.0,1.0,14.0,38.0,2.17,1.83,3.5,36,Unknown,Private room in rental unit,0.5945340501792115,0.09363799283154121
1329002870742045734,1.0,0,15.0,4.0,1.0,1.0,14.0,51.0,1.77,1.69,2.46,169,Unknown,Private room in rental unit,0.5945340501792115,0.09363799283154121
1329018808923389301,1.0,1,2.0,2.0,1.0,1.0,1125.0,50.0,4.91,5.0,4.57,529,Unknown,Private room in home,0.5945340501792115,0.22334229390681004
1329190977882416639,1.0,0,58.0,4.0,1.0,1.0,180.0,213.0,4.76,4.88,5.0,289,"Dublin, County Dublin, Ireland",Entire rental unit,0.11559139784946236,0.2318548387096774
1329582171084649924,0.99,0,9.0,4.0,1.0,1.0,365.0,81.0,4.67,4.0,4.67,9,"Dublin 3, County Dublin, Ireland",Entire home,0.006496415770609319,0.1646505376344086
1329597225521671593,1.0,0,1.0,2.0,3.0,4.0,365.0,129.0,5.0,5.0,5.0,1,Unknown,Private room in bed and breakfast,0.5945340501792115,0.013888888888888888
1329721152487772978,1.0,1,1.0,4.0,2.0,2.0,365.0,203.0,4.82,4.79,4.71,784,Unknown,Entire rental unit,0.5945340501792115,0.2318548387096774
1329824758244535993,1.0,1,1.0,2.0,1.0,1.0,8.0,82.0,4.88,4.95,4.85,1681,Unknown,Private room in home,0.5945340501792115,0.22334229390681004
1329958063131068593,1.0,0,1.0,2.0,1.0,1.0,365.0,71.0,4.5,4.38,4.5,64,"Dublin, County Dublin, Ireland",Private room in condo,0.11559139784946236,0.05040322580645161
1330216899766819415,0.0,0,1.0,1.0,1.0,1.0,365.0,86.0,5.0,5.0,4.0,1,Unknown,Private room in home,0.5945340501792115,0.22334229390681004
1330274354033964235,1.0,0,3.0,2.0,1.0,1.0,365.0,80.0,5.0,5.0,5.0,1,"Dublin, County Dublin, Ireland",Private room in rental unit,0.11559139784946236,0.09363799283154121
1330532074207600189,1.0,0,1.0,1.0,1.0,1.0,365.0,50.0,5.0,5.0,5.0,1,Unknown,Private room in home,0.5945340501792115,0.22334229390681004
1330541948265732674,1.0,0,2.0,1.0,1.0,1.0,30.0,118.0,5.0,5.0,5.0,1,Unknown,Private room in rental unit,0.5945340501792115,0.09363799283154121
1331715866153539381,1.0,0,2.0,4.0,2.0,2.0,1125.0,360.0,4.0,4.33,5.0,9,Unknown,Entire rental unit,0.5945340501792115,0.2318548387096774
1331753798352054622,1.0,0,15.0,2.0,1.0,1.0,14.0,46.0,3.5,3.17,4.17,36,Unknown,Private room in rental unit,0.5945340501792115,0.09363799283154121
1331825487354684689,1.0,0,2.0,2.0,1.0,1.0,60.0,60.0,5.0,5.0,5.0,4,Unknown,Private room in home,0.5945340501792115,0.22334229390681004
1331839565988440428,1.0,0,1.0,2.0,1.0,1.0,365.0,70.0,5.0,5.0,5.0,1,Unknown,Private room in bed and breakfast,0.5945340501792115,0.013888888888888888
1332538413360471494,1.0,0,3.0,6.0,2.0,3.0,365.0,566.0,5.0,5.0,5.0,25,Unknown,Entire home,0.5945340501792115,0.1646505376344086
